copy/paste bank statement in here!,,,,label the transactions here,,Transactions are summed up here:,,,
10/9/2018,Market Basket 10/08 PURCHASE WALTHAM MA,-48.19,3690.75,Groceries,,,,,
10/9/2018,WHOLEFDS NTV 1 10/09 PURCHASE NEWTONVILLE MA,-16.65,3674.1,Groceries,,,,,
10/9/2018,WHOLEFDS CHA # 10/09 PURCHASE CHARLESTOWN MA,-78.61,3595.49,Groceries,,,,,
10/9/2018,MCLEAN ENTERPR 10/09 PURCHASE WALTHAM MA,-30.15,3565.34,other,,,,,
10/9/2018,NATIONAL GRID NE DES:UTILITYPAY ID:XXXXX013963 INDN:MICHAEL STRAIN CO ID:XXXXX84003 PPD,-32.05,3533.29,natural gas,,,,,
10/10/2018,BRIGHTON BODEGA 10/09 PURCHASE Brighton MA,-53.94,3479.35,Eating Out,,,,,
10/10/2018,CRESCENT LAUNDROMAT 10/09 PURCHASE WALTHAM MA,-33,3446.35,laundry,,,,,
10/10/2018,LOGAN PARKING MASSPORT 10/09 PURCHASE BOSTON MA,-7,3439.35,Car/Transportation,,,,,
10/10/2018,WAY - PARKING 10/09 PURCHASE 4085983338 CA,-48.13,3391.22,Car/Transportation,,,,,
10/10/2018,TAQUERIA EL AMIGO 10/09 PURCHASE WALTHAM MA,-31.89,3359.33,Eating Out,,,,,
10/10/2018,WHOLEFDS NTV 1 10/10 PURCHASE NEWTONVILLE MA,-58.52,3300.81,Groceries,,,,,
10/11/2018,"J BUSEK CO INC DES:DIRECT DEP ID:XXXXX632300498Y INDN:STRAIN,MICHAEL E CO ID:XXXXX11101 PPD",2143.71,5444.52,,,,,,
10/11/2018,BOSTON MED CTR PARK 710 10/09 PURCHASE BOSTON MA,-8,5436.52,Car/Transportation,,,,,
10/11/2018,AMZN MKTP US*MT3R41932 10/09 PURCHASE AMZN.COM/BILL WA,-107.03,5329.49,amazon?,,,,,
10/11/2018,GOOGLE *Google Play 10/11 PURCHASE g.co/helppay# CA,-2.99,5326.5,Entertainment,,,,,
10/11/2018,SPEEDWAY 02486 10/11 PURCHASE WALTHAM MA,-29.5,5297,Car/Transportation,,,,,
10/11/2018,ElecCheck 278 National Grid - DES:CHECK PYMT CHECK #:0278 INDN: CO ID:XXXXX21881 ARC,-7.18,5289.82,electric,,,,,
10/12/2018,Philip Edward Salon 10/10 PURCHASE Charlestown MA,-40,5249.82,Beauty,,,,,
10/12/2018,Feminail Salon 10/10 PURCHASE WALTHAM MA,-35,5214.82,Beauty,,,,,
10/12/2018,SQ *JUGOS 10/11 PURCHASE Boston MA,-14.98,5199.84,Eating Out,,,,,
10/12/2018,NEWSLINK 10 BO 10/12 PURCHASE E BOSTON MA,-5.78,5194.06,Eating Out,,,,,
10/12/2018,KROGER #8 7100 10/12 PURCHASE DUBLIN OH,-41.95,5152.11,Groceries,,,,,
10/12/2018,KROGER #8 7100 10/12 PURCHASE DUBLIN OH,-31.94,5120.17,Groceries,,,,,
10/15/2018,STARBUCKS STORE 50017 10/11 PURCHASE AUBURNDALE MA,-6.31,5113.86,Eating Out,,,,,
10/15/2018,STYLECUTS - NATICK 10/11 PURCHASE NATICK MA,-21.95,5091.91,Beauty,,,,,
10/15/2018,E-ZPass MA 10/11 PURCHASE 877-6277745 MA,-45,5046.91,Car/Transportation,,,,,
10/15/2018,CERTIFIED 431 10/13 PURCHASE SPRINGFIELD OH,-5.75,5041.16,Eating Out,,,,,
10/15/2018,WHOLEFDS NTV 1 10/15 PURCHASE NEWTONVILLE MA,-30.48,5010.68,Groceries,,,,,
10/15/2018,Market Basket 10/15 PURCHASE WALTHAM MA,-64.92,4945.76,Groceries,,,,,
10/16/2018,CHIPOTLE 2987 10/15 PURCHASE NATICK MA,-8.03,4937.73,Eating Out,,,,,
10/16/2018,BB *THE GREATER BOSTON 10/15 PURCHASE WWW.GBFB.ORG MA,-100,4837.73,Charity Donation,,,,,
10/16/2018,CENTRAL ROCK WATERTOWN 10/15 PURCHASE HTTPSCENTRALR MA,-15,4822.73,gym,,,,,
10/16/2018,WHOLEFDS NTV 1 10/16 PURCHASE NEWTONVILLE MA,-37.8,4784.93,Groceries,,,,,
10/16/2018,SPEEDWAY 02426 10/16 PURCHASE NEWTON MA,-7.42,4777.51,Car/Transportation,,,,,
10/16/2018,MCLEAN ENTERPR 10/16 PURCHASE WALTHAM MA,-16.23,4761.28,other,,,,,
10/17/2018,CENTRAL ROCK GYM - WAT 10/15 PURCHASE WATERTON MA,-22,4739.28,gym,,,,,
10/17/2018,Spotify USA 10/16 PURCHASE 646-8375380 NY,-14.99,4724.29,Entertainment,,,,,
10/17/2018,HANNAFORD #801 10/16 PURCHASE WALTHAM MA,-57.52,4666.77,Groceries,,,,,
10/18/2018,BOSTON MED CTR PARK 710 10/16 PURCHASE BOSTON MA,-7,4659.77,Car/Transportation,,,,,
10/19/2018,WAY - PARKING 10/18 PURCHASE 4085983338 CA,-48.13,4611.64,Car/Transportation,,,,,
10/19/2018,BERKSHIRE FARMS MARKET 10/18 PURCHASE BOSTON MA,-10.65,4600.99,Groceries,,,,,
10/19/2018,BERKSHIRE FARMS MARKET 10/18 PURCHASE BOSTON MA,-9.52,4591.47,Groceries,,,,,
10/22/2018,UNITED 01626010011 10/18 PURCHASE HOUSTON TX,-30,4561.47,flights,,,,,
10/22/2018,TST* INTELLIGENTSIA - L 10/19 PURCHASE CHICAGO IL,-10.76,4550.71,Eating Out,,,,,
10/22/2018,SQ *BANG BANG PIE & 10/19 PURCHASE CHICAGO IL,-22.1,4528.61,Eating Out,,,,,
10/22/2018,Myopic Books 10/19 PURCHASE CHICAGO IL,-10.47,4518.14,Entertainment,,,,,
10/22/2018,BB *AMERWRITEMUSEUM 10/19 PURCHASE CHICAGO IL,-24,4494.14,Entertainment,,,,,
10/22/2018,SQ *GLOSSIER 10/19 PURCHASE CHICAGO IL,-37.5,4456.64,Beauty,,,,,
10/22/2018,CRICKET WIRELESS 10/20 PURCHASE 855-246-2461 FL,-87,4369.64,cell phone,,,,,
10/22/2018,SQ *GASLIGHT COFFEE ROA 10/20 PURCHASE Chicago IL,-7.89,4361.75,Eating Out,,,,,
10/22/2018,GOEBBERTS PUMPKIN PATC 10/20 PURCHASE HAMPSHIRE IL,-5.23,4356.52,Entertainment,,,,,
10/22/2018,GOEBBERTS PUMPKIN PATC 10/20 PURCHASE HAMPSHIRE IL,-10.7,4345.82,Entertainment,,,,,
10/22/2018,SQ *LOS AMIGOS TAQUERIA 10/21 PURCHASE Boston MA,-21.51,4324.31,Eating Out,,,,,
10/22/2018,DUNKIN #337476 Q35 10/21 PURCHASE WALTHAM MA,-1.92,4322.39,Eating Out,,,,,
10/22/2018,WHOLEFDS NTV 1 10/22 PURCHASE NEWTONVILLE MA,-17.47,4304.92,Groceries,,,,,
10/22/2018,TRADER JOE'S # 10/22 PURCHASE SAUGUS MA,-43.3,4261.62,Groceries,,,,,
10/22/2018,WHOLEFDS NTV 1 10/22 PURCHASE NEWTONVILLE MA,-15.99,4245.63,Groceries,,,,,
10/22/2018,CVS/PHARMACY # 10/22 PURCHASE BRIGHTON MA,-24.24,4221.39,health,,,,,
10/22/2018,Interest Earned,0.05,4221.44,,,,,,
10/23/2018,SPIRIT AIRL 48701896954 10/21 PURCHASE 800-7727117 FL,-40,4181.44,flights,,,,,
10/23/2018,SCRUBADUB - NATICK 10/22 PURCHASE NATICK MA,-15,4166.44,Car/Transportation,,,,,
10/24/2018,ANESE.CO 10/23 PURCHASE HTTPSWWW.ANES CA,-33,4133.44,other,,,,,
10/24/2018,LITTLE INC 10/23 PURCHASE 207-2742100 ME,-42.95,4090.49,other,,,,,
10/24/2018,Market Basket 00000794 10/23 PURCHASE WALTHAM MA,-46.56,4043.93,Groceries,,,,,
10/24/2018,WHOLEFDS NTV 1 10/24 PURCHASE NEWTONVILLE MA,-13.87,4030.06,Groceries,,,,,
10/25/2018,"J BUSEK CO INC DES:DIRECT DEP ID:XXXXX779437298Y INDN:STRAIN,MICHAEL E CO ID:XXXXX11101 PPD",,,,,,,,
10/25/2018,THE LITTLE GOAT 10/19 PURCHASE CHICAGO IL,-69.98,6010.52,Eating Out,,,,,
10/25/2018,CENTRAL ROCK GYM - WAT 10/23 PURCHASE WATERTON MA,-27.58,5982.94,gym,,,,,
10/25/2018,AMAZON.COM*M826203S1 AM 10/23 PURCHASE AMZN.COM/BILL WA,-15.73,5967.21,amazon?,,,,,
10/25/2018,CRESCENT LAUNDROMAT 10/24 PURCHASE WALTHAM MA,-28.5,5938.71,laundry,,,,,
10/25/2018,GORDON S LIQUORS I 10/24 PURCHASE WALTHAM MA,-10.99,5927.72,drinking,,,,,
10/25/2018,VERC ENTERPRIS 10/25 PURCHASE WESTON MA,-34.82,5892.9,other,,,,,
10/25/2018,VERC ENTERPRIS 10/25 PURCHASE WESTON MA,-3.69,5889.21,other,,,,,
10/26/2018,RIVER BAR 10/25 PURCHASE SOMERVILLE MA,-18.05,5871.16,Eating Out,,,,,
10/26/2018,"BILLIE, INC. 10/25 PURCHASE WWW.MYBILLIE. NY",-9,5862.16,other,,,,,
10/26/2018,WHOLEFDS NTV 1 10/26 PURCHASE NEWTONVILLE MA,-24.8,5837.36,Groceries,,,,,
10/26/2018,BKOFAMERICA ATM 10/26 #000007141 WITHDRWL WEST NEWTON NEWTON MA,-40,5797.36,other,,,,,
10/26/2018,Check 362,-21.35,5776.01,other,,,,,
10/29/2018,CHICK-FIL-A #03126 10/26 PURCHASE FRAMINGHAM MA,-9.51,5766.5,Eating Out,,,,,
10/29/2018,AMZN MKTP US*M85AL5ER2 10/26 PURCHASE AMZN.COM/BILL WA,-29.43,5737.07,amazon?,,,,,
10/29/2018,MANGO THAI CUISINE 10/26 PURCHASE WEST NEWTON MA,-24.88,5712.19,Eating Out,,,,,
10/29/2018,NONANTUM BOXING CLUB 10/27 PURCHASE NEWTON MA,-75,5637.19,gym,,,,,
10/29/2018,VENMO 10/27 PURCHASE 855-812-4430 NY,-35,5602.19,other,,,,,
10/29/2018,CUMBERLAND FAR 10/28 PURCHASE BROCKTON MA,-28.41,5573.78,Car/Transportation,,,,,
10/29/2018,WAL-MART #2021 10/28 PURCHASE RAYNHAM MA,-19.97,5553.81,Household goods,,,,,
10/29/2018,CHIPOTLE 1817 10/28 PURCHASE RAYNHAM MA,-16.37,5537.44,Eating Out,,,,,
10/29/2018,AMZN Mktp US*M86QH2E10 10/28 PURCHASE Amzn.com/bill WA,-9.99,5527.45,amazon?,,,,,
10/29/2018,WHOLEFDS NTV 1 10/29 PURCHASE NEWTONVILLE MA,-43.59,5483.86,Groceries,,,,,
10/29/2018,TRADER JOE'S # 10/29 PURCHASE NEWTON MA,-9.03,5474.83,Groceries,,,,,
10/29/2018,Market Basket 10/29 PURCHASE WALTHAM MA,-137.35,5337.48,Groceries,,,,,
10/29/2018,WAL-MART Wal- 10/29 PURCHASE FRAMINGHAM MA,-7.56,5329.92,Household goods,,,,,
10/29/2018,VANGUARD BUY DES:INVESTMENT ID:XXXXX7823220846 INDN:MICHAEL E STRAIN CO ID:VMC PUR PPD,-200,5129.92,Retirement,,,,,
10/30/2018,AUTO AIR & VACUUM SERVI 10/28 PURCHASE PLAINVIEW NY,-1.5,5128.42,Car/Transportation,,,,,
10/30/2018,AMAZON.COM*M81LC11Z2 AM 10/28 PURCHASE AMZN.COM/BILL WA,-16.38,5112.04,amazon?,,,,,
10/30/2018,AMZN MKTP US*M80J29001 10/28 PURCHASE AMZN.COM/BILL WA,-7.2,5104.84,amazon?,,,,,
10/30/2018,RCN*CABLE PHONE INTERN 10/29 PURCHASE 800-RINGRCN PA,-31.96,5072.88,internet,,,,,
10/31/2018,Netflix.com 10/30 MOBILE PURCHASE netflix.com CA,-10.99,5061.89,Entertainment,,,,,
10/31/2018,Audible US 10/30 PURCHASE 888-283-5051 NJ,-14.95,5046.94,Entertainment,,,,,
10/31/2018,WHOLEFDS NTV 1 10/31 PURCHASE NEWTONVILLE MA,-31.96,5014.98,Groceries,,,,,
